Autorius,Pavadinimas,Metai,Kodas
Vincas Mykolaitis Putinas,Altorių šešėly,2023,
Ina Ogenskienė,Koncertas turėklui,2023,9786098161663
,Apvaliojo stalo riteriai,,
Richard Bach,Džonatanas Livingstonas Žuvėdra,,
Ilona Ežerinytė,Sutikti eidą,2024,
Anna Sewell,Juodasis gražuolis,2018,
Trude Bruns,Mėlynasis žmogutis,2011,9789955746836
,100 reikšmingiausių pirmosios Lietuvos Respublikos įvykių,,
Martin Widmark,Pabaisų agentė Nelė Rap. Frankenšteinas,2019,
Kevin Brooks,Dienoraštis iš bunkelio,2021,
Algirdas Navasaitis,Miško žvėrys,2008,
Gianni Rodari,Žydrosios strėlės kelionė,2004,
,Grybai,,
Vytautas Račickas,Šlepetė,2016,
Rebeka Una,Atjunk,2016,
Angela Gerrits,"Aš ryžtuosi, aš nesiryžtu",2005,
Vytautas Račickas,"Aš, dviratis, pirmoji meilė ir sumuštiniai su sliekais",2014,
,Outlaw Robin of Sherwood,,
"Marius Marcinkevičius, Rasa Joni",Atvirkštukai,2018,
Anna Casalis,Peliukas Lukas nenori eiti į darželį,2014,
Benji Davies,Nojus ir banginis žiemą,2018,
Gintarė Adomaitytė,Vėjų miesto pasakos,2016,
"Becky Bloom, Pascal Biet",Išsilavinęs vilkas,2004,
Janosch,Panama labai graži,,
Mervi Lindman,Drąsioji Pupulė,2008,
Pranas Mašiotas,Paliegusi obelis,2014,
Giedrė Rakauskienė,Dramblys ir antis,2016,
Maureen Spurgeon,Aš jau galiu skaityti. 15 istorijų apie gyvūnus,2014,
Č.Torsonas,Kikas,2015,
,Pagrandukas. Išėjo tėvelis į mišką,2007,
Kostas Kubilinskas,Agė melagė,2010,
,Troliai,2017,
Ingrid Pabst,Linksmi žvėrelių nuotykiai,2007,
